,Step,HORSE penalty,CONOP penalty,Spearmans rho of horizon,Spearmans rho p-value of horizon,Kendalls tau of horizon,Kendalls tau p-value of horizon,Kruskal s^2 of horizon,Spearmans rho of event,Spearmans rho p-value of event,Kendalls tau of event,Kendalls tau p-value of event,Kruskal s^2 of event
39,40,18617.0,22137.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411526769168685,0.0,0.6885559801498363,0.0,0.23338848408355345
40,41,18617.0,22137.0,0.7537113168024524,2.843752321352469e-299,0.5939169390603077,7.250238851789584e-283,0.3592321243644779,0.8411526769168685,0.0,0.6885559801498363,0.0,0.23338848408355345
41,42,17856.0,20873.0,0.7563929264536063,1.3189961918787753e-302,0.6024464647756467,5.494648709433205e-291,0.35226475253011325,0.8488280662349952,0.0,0.7130239494949219,0.0,0.2149327770877187
42,43,17856.0,20873.0,0.7563929264536063,1.3189961918787753e-302,0.6024464647756467,5.494648709433205e-291,0.35226475253011325,0.8488280662349952,0.0,0.7130239494949219,0.0,0.2149327770877187
43,44,17856.0,20873.0,0.7563929264536063,1.3189961918787753e-302,0.6024464647756467,5.494648709433205e-291,0.35226475253011325,0.8488280662349952,0.0,0.7130239494949219,0.0,0.2149327770877187
44,45,17499.0,20605.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504605679090631,0.0,0.7099707112243769,0.0,0.21251974603483414
45,46,17499.0,20605.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504605679090631,0.0,0.7099707112243769,0.0,0.21251974603483414
46,47,17499.0,20605.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504605679090631,0.0,0.7099707112243769,0.0,0.21251974603483414
47,48,17499.0,20605.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504605679090631,0.0,0.7099707112243769,0.0,0.21251974603483414
48,49,17499.0,20605.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504605679090631,0.0,0.7099707112243769,0.0,0.21251974603483414
49,50,17499.0,20605.0,0.7776035866570226,0.0,0.6228261482849544,0.0,0.32204126789126897,0.8504605679090631,0.0,0.7099707112243769,0.0,0.21251974603483414
50,51,16674.0,19708.0,0.7825125246127836,0.0,0.6268449105332646,0.0,0.3188292912970084,0.8632096712300543,0.0,0.7252186142376551,0.0,0.19850940821919946
51,52,16674.0,19708.0,0.7825125246127836,0.0,0.6268449105332646,0.0,0.3188292912970084,0.8632096712300543,0.0,0.7252186142376551,0.0,0.19850940821919946
52,53,16674.0,19708.0,0.7825125246127836,0.0,0.6268449105332646,0.0,0.3188292912970084,0.8632096712300543,0.0,0.7252186142376551,0.0,0.19850940821919946
53,54,16554.0,19340.0,0.7863763361264884,0.0,0.6304965526061395,0.0,0.31495734563262423,0.8723518517794976,0.0,0.729891284966162,0.0,0.19039141810470034
54,55,16554.0,19340.0,0.7863763361264884,0.0,0.6304965526061395,0.0,0.31495734563262423,0.8723518517794976,0.0,0.729891284966162,0.0,0.19039141810470034
55,56,16554.0,19340.0,0.7863763361264884,0.0,0.6304965526061395,0.0,0.31495734563262423,0.8723518517794976,0.0,0.729891284966162,0.0,0.19039141810470034
56,57,16507.0,19321.0,0.7979979482248152,0.0,0.640177090346921,0.0,0.3034272284849667,0.8851843418021543,0.0,0.7420173684359721,0.0,0.1750497650526254
57,58,16400.0,19299.0,0.7972540663228087,0.0,0.642485132761338,0.0,0.30129051113097916,0.88602151566165,0.0,0.7416881783259403,0.0,0.17511673173369446
58,59,15918.0,18836.0,0.795227899606616,0.0,0.6442154122767093,0.0,0.299936793777662,0.877281278386069,0.0,0.7449169846551688,0.0,0.17860010404641805
59,60,15575.0,18566.0,0.8048271922055114,0.0,0.6522920561362858,0.0,0.2886029544115541,0.882569551833918,0.0,0.7500889270505572,0.0,0.17187076598637385
60,61,15575.0,18566.0,0.8048271922055114,0.0,0.6522920561362858,0.0,0.2886029544115541,0.882569551833918,0.0,0.7500889270505572,0.0,0.17187076598637385
61,62,15379.0,17964.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891107989123509,0.0,0.7520201756960772,0.0,0.1681897021033253
62,63,15379.0,17964.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891107989123509,0.0,0.7520201756960772,0.0,0.1681897021033253
63,64,15379.0,17964.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891107989123509,0.0,0.7520201756960772,0.0,0.1681897021033253
64,65,15379.0,17964.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891107989123509,0.0,0.7520201756960772,0.0,0.1681897021033253
65,66,15379.0,17964.0,0.8002869675214146,0.0,0.6464512343287456,0.0,0.29469415416986816,0.8891107989123509,0.0,0.7520201756960772,0.0,0.1681897021033253
66,67,14756.0,17673.0,0.8046257402089302,0.0,0.6527058186290919,0.0,0.28848623872891466,0.8934932215482221,0.0,0.7639441730150066,0.0,0.158079114686778
67,68,14756.0,17673.0,0.8046257402089302,0.0,0.6527058186290919,0.0,0.28848623872891466,0.8934932215482221,0.0,0.7639441730150066,0.0,0.158079114686778
68,69,14785.0,17816.0,0.8153353655635879,0.0,0.6648237936002226,0.0,0.2727636685632627,0.8895622701201114,0.0,0.7642569036195367,0.0,0.1592736202409872
69,70,14785.0,17816.0,0.8153353655635879,0.0,0.6648237936002226,0.0,0.2727636685632627,0.8895622701201114,0.0,0.7642569036195367,0.0,0.1592736202409872
70,71,14304.0,17018.0,0.8178013927865047,0.0,0.6727921069162281,0.0,0.2672978146781436,0.8968833514779567,0.0,0.7728039590597234,0.0,0.15127378901782843
71,72,14070.0,16724.0,0.8238912631062589,0.0,0.6767205937115623,0.0,0.2608880924023696,0.9096991827719209,0.0,0.7824135670217347,0.0,0.1382987705989595
72,73,14070.0,16724.0,0.8238912631062589,0.0,0.6767205937115623,0.0,0.2608880924023696,0.9096991827719209,0.0,0.7824135670217347,0.0,0.1382987705989595
73,74,13519.0,15841.0,0.820822608513639,0.0,0.6764723362158787,0.0,0.2631667778035195,0.9162550714442346,0.0,0.7934332059550491,0.0,0.1284592982603102
74,75,13519.0,15841.0,0.820822608513639,0.0,0.6764723362158787,0.0,0.2631667778035195,0.9162550714442346,0.0,0.7934332059550491,0.0,0.1284592982603102
75,76,13519.0,15841.0,0.820822608513639,0.0,0.6764723362158787,0.0,0.2631667778035195,0.9162550714442346,0.0,0.7934332059550491,0.0,0.1284592982603102
76,77,13398.0,15900.0,0.8244960173700594,0.0,0.6810839072720638,0.0,0.2571992538355199,0.9181255072106127,0.0,0.7942351496397654,0.0,0.12644771541531047
77,78,13111.0,15635.0,0.8218769948275264,0.0,0.6788285255385494,0.0,0.2599619715334519,0.9229167594272345,0.0,0.8010073217366973,0.0,0.11897417023047231
78,79,13111.0,15635.0,0.8218769948275264,0.0,0.6788285255385494,0.0,0.2599619715334519,0.9229167594272345,0.0,0.8010073217366973,0.0,0.11897417023047231
79,80,13111.0,15635.0,0.8218769948275264,0.0,0.6788285255385494,0.0,0.2599619715334519,0.9229167594272345,0.0,0.8010073217366973,0.0,0.11897417023047231
80,81,13111.0,15635.0,0.8218769948275264,0.0,0.6788285255385494,0.0,0.2599619715334519,0.9229167594272345,0.0,0.8010073217366973,0.0,0.11897417023047231
81,82,12739.0,15247.0,0.8304767080480789,0.0,0.6932530383332143,0.0,0.24605858762750024,0.9209496191509888,0.0,0.8025151953240374,0.0,0.11978786493653688
82,83,12560.0,14918.0,0.8267037417405153,0.0,0.6865169849503296,0.0,0.25231987241085846,0.9199263485492855,0.0,0.7995744303410867,0.0,0.12212292836598604
83,84,12568.0,14890.0,0.8366549924427499,0.0,0.6985958405585041,0.0,0.24007154905774075,0.9195252847409587,0.0,0.7998432689309459,0.0,0.12249808726792956
84,85,12126.0,14410.0,0.8433815895825668,0.0,0.7042109737336046,0.0,0.2316960260704589,0.9255207887217832,0.0,0.8069263427984634,0.0,0.11463036724750963
85,86,11870.0,14296.0,0.8494712248099957,0.0,0.7087412968821115,0.0,0.2240828655874778,0.9331917151782892,0.0,0.8134607664825946,0.0,0.10492023659434876
86,87,11870.0,14296.0,0.8494712248099957,0.0,0.7087412968821115,0.0,0.2240828655874778,0.9331917151782892,0.0,0.8134607664825946,0.0,0.10492023659434876
87,88,11870.0,14296.0,0.8494712248099957,0.0,0.7087412968821115,0.0,0.2240828655874778,0.9331917151782892,0.0,0.8134607664825946,0.0,0.10492023659434876
88,89,11638.0,13721.0,0.8524619144901175,0.0,0.7163169119776719,0.0,0.21766015726175442,0.936446584357247,0.0,0.8183099196867574,0.0,0.0986444167680059
89,90,11376.0,13671.0,0.8530800468901324,0.0,0.716816436150805,0.0,0.21586275165747004,0.9408498952825893,0.0,0.8255786201996538,0.0,0.09295303574006647
90,91,11168.0,13325.0,0.8561972992151127,0.0,0.7209886666691743,0.0,0.21174961290990696,0.9395218446545028,0.0,0.8256737195647741,0.0,0.09331187087786072
91,92,11168.0,13325.0,0.8561972992151127,0.0,0.7209886666691743,0.0,0.21174961290990696,0.9395218446545028,0.0,0.8256737195647741,0.0,0.09331187087786072
92,93,11168.0,13325.0,0.8561972992151127,0.0,0.7209886666691743,0.0,0.21174961290990696,0.9395218446545028,0.0,0.8256737195647741,0.0,0.09331187087786072
93,94,10318.0,12151.0,0.8723946930203135,0.0,0.7453600297908994,0.0,0.18864848486177976,0.9491815454530143,0.0,0.8415287954476666,0.0,0.0787904655184701
94,95,10318.0,12151.0,0.8723946930203135,0.0,0.7453600297908994,0.0,0.18864848486177976,0.9491815454530143,0.0,0.8415287954476666,0.0,0.0787904655184701
95,96,10318.0,12151.0,0.8723946930203135,0.0,0.7453600297908994,0.0,0.18864848486177976,0.9491815454530143,0.0,0.8415287954476666,0.0,0.0787904655184701
96,97,10118.0,11972.0,0.8726891724329744,0.0,0.743566557458445,0.0,0.18825673480286717,0.9501579042358839,0.0,0.8429068218249386,0.0,0.07820639664383623
97,98,9817.0,11647.0,0.8761005639781916,0.0,0.7457527280113445,0.0,0.18616950321280576,0.9511856154176668,0.0,0.848208611430395,0.0,0.07658211976155249
98,99,9690.0,11363.0,0.8784360264551332,0.0,0.7452306349749673,0.0,0.18333369471007294,0.9564532653331805,0.0,0.8522411902782845,0.0,0.06957689605296324
99,100,9690.0,11363.0,0.8784360264551332,0.0,0.7452306349749673,0.0,0.18333369471007294,0.9564532653331805,0.0,0.8522411902782845,0.0,0.06957689605296324
100,101,9690.0,11363.0,0.8784360264551332,0.0,0.7452306349749673,0.0,0.18333369471007294,0.9564532653331805,0.0,0.8522411902782845,0.0,0.06957689605296324
101,102,9414.0,11286.0,0.8852355105132184,0.0,0.7563074330551094,0.0,0.1737156375801339,0.9550629312442378,0.0,0.8495784080549162,0.0,0.07155880963944027
102,103,9414.0,11286.0,0.8852355105132184,0.0,0.7563074330551094,0.0,0.1737156375801339,0.9550629312442378,0.0,0.8495784080549162,0.0,0.07155880963944027
103,104,9398.0,11303.0,0.8929550159409192,0.0,0.7671239369125042,0.0,0.16227077435777812,0.9565867881237494,0.0,0.8529206020887112,0.0,0.06938224963381232
104,105,9133.0,10913.0,0.897316191544155,0.0,0.7706567163056275,0.0,0.15633357935279676,0.9617147537472319,0.0,0.8588569970729514,0.0,0.06270642121984957
105,106,8797.0,10536.0,0.899278794827128,0.0,0.7767683644720954,0.0,0.1516972326974969,0.9626079827214984,0.0,0.8629325535185394,0.0,0.0605161415414912
106,107,8797.0,10536.0,0.899278794827128,0.0,0.7767683644720954,0.0,0.1516972326974969,0.9626079827214984,0.0,0.8629325535185394,0.0,0.0605161415414912
107,108,8765.0,10446.0,0.9038349034550498,0.0,0.7822164880591906,0.0,0.1463556264184718,0.9652075412903531,0.0,0.8676070530809908,0.0,0.056645465362899806
108,109,8683.0,10375.0,0.90800830113767,0.0,0.7847035767886764,0.0,0.14134179185868648,0.9654121487505255,0.0,0.8661494724271278,0.0,0.05687147816780066
109,110,8538.0,10267.0,0.9107949417424623,0.0,0.7900839937860397,0.0,0.13772917236885351,0.9641999411654596,0.0,0.8657453001253667,0.0,0.05871744709435267
110,111,8538.0,10267.0,0.9107949417424623,0.0,0.7900839937860397,0.0,0.13772917236885351,0.9641999411654596,0.0,0.8657453001253667,0.0,0.05871744709435267
111,112,8488.0,10263.0,0.9117611877948474,0.0,0.7908092065916126,0.0,0.1350086539281984,0.9663611025484824,0.0,0.8704719214552397,0.0,0.05471564112907474
112,113,8237.0,9836.0,0.914759190229187,0.0,0.7950581712450113,0.0,0.1316595244350841,0.9690071600723201,0.0,0.8780679832442234,0.0,0.05081823537409334
113,114,8237.0,9836.0,0.914759190229187,0.0,0.7950581712450113,0.0,0.1316595244350841,0.9690071600723201,0.0,0.8780679832442234,0.0,0.05081823537409334
114,115,8237.0,9836.0,0.914759190229187,0.0,0.7950581712450113,0.0,0.1316595244350841,0.9690071600723201,0.0,0.8780679832442234,0.0,0.05081823537409334
115,116,7726.0,9376.0,0.9178689168339603,0.0,0.7992785486716343,0.0,0.12734756048613738,0.9689896362955599,0.0,0.8789238775303061,0.0,0.0509448919982124
116,117,7662.0,9275.0,0.9200083123114698,0.0,0.8050667097982719,0.0,0.12322897240808887,0.9714540546960955,0.0,0.8828668435149092,0.0,0.046934521758236564
117,118,7424.0,9009.0,0.9208743205278637,0.0,0.8057783812858985,0.0,0.1218389036939765,0.9685158298088337,0.0,0.8796572399420991,0.0,0.051005300501177936
118,119,7199.0,8789.0,0.9258731550230879,0.0,0.8137316486930747,0.0,0.11480651335991357,0.9719183508967951,0.0,0.8842110364642056,0.0,0.04666589680473843
119,120,7199.0,8789.0,0.9258731550230879,0.0,0.8137316486930747,0.0,0.11480651335991357,0.9719183508967951,0.0,0.8842110364642056,0.0,0.04666589680473843
120,121,7189.0,8809.0,0.9258235699029607,0.0,0.814625375677536,0.0,0.11455972499736612,0.974499916465847,0.0,0.8910389879964484,0.0,0.04206449600319836
121,122,6958.0,8420.0,0.9284392237107593,0.0,0.8191301207810331,0.0,0.11044475112704527,0.9764046461453839,0.0,0.8939440907174789,0.0,0.0394574603212374
122,123,6958.0,8420.0,0.9284392237107593,0.0,0.8191301207810331,0.0,0.11044475112704527,0.9764046461453839,0.0,0.8939440907174789,0.0,0.0394574603212374
123,124,6597.0,8056.0,0.932825935872124,0.0,0.8253801913087307,0.0,0.10414959296600067,0.9766925485596993,0.0,0.8954967707364624,0.0,0.03888044459559242
124,125,6597.0,8056.0,0.932825935872124,0.0,0.8253801913087307,0.0,0.10414959296600067,0.9766925485596993,0.0,0.8954967707364624,0.0,0.03888044459559242
125,126,6516.0,7849.0,0.9362016072128319,0.0,0.8310479851647338,0.0,0.09846418200987928,0.9783106078630776,0.0,0.8967952428371432,0.0,0.03653715395861287
126,127,6516.0,7849.0,0.9362016072128319,0.0,0.8310479851647338,0.0,0.09846418200987928,0.9783106078630776,0.0,0.8967952428371432,0.0,0.03653715395861287
127,128,6249.0,7619.0,0.9356480394627639,0.0,0.830384460585361,0.0,0.09932378856250748,0.9765358700051795,0.0,0.8959283755473928,0.0,0.038826462786934676
128,129,6084.0,7415.0,0.9410264401977122,0.0,0.8400078238725912,0.0,0.09115875749668009,0.9798799426787169,0.0,0.9010783719354459,0.0,0.03414701271609961
129,130,6084.0,7415.0,0.9410264401977122,0.0,0.8400078238725912,0.0,0.09115875749668009,0.9798799426787169,0.0,0.9010783719354459,0.0,0.03414701271609961
130,131,5850.0,7217.0,0.944204581434986,0.0,0.8448646432426942,0.0,0.08686433134772358,0.9811630343995158,0.0,0.9071574159673663,0.0,0.03155869161146215
131,132,5846.0,7071.0,0.9456060110397145,0.0,0.8477128337840837,0.0,0.0851168653561321,0.9826821466214454,0.0,0.9104026818020964,0.0,0.029294404199125077
132,133,5641.0,6905.0,0.9462499095585996,0.0,0.8516819445332571,0.0,0.0833722102932322,0.9820717752584464,0.0,0.912789310099827,0.0,0.02964330182957997
133,134,5528.0,6823.0,0.947421454824327,0.0,0.85350550868337,0.0,0.08206509238008373,0.9838420083129993,0.0,0.9155965702048202,0.0,0.027392745965119175
134,135,5363.0,6637.0,0.9488526554148347,0.0,0.8556931838271526,0.0,0.07970468321999616,0.9824645791684081,0.0,0.9123083267723915,0.0,0.02938617818906404
135,136,5353.0,6576.0,0.9471482471184319,0.0,0.8531624619620617,0.0,0.0825153897900296,0.9826499668333363,0.0,0.9103258707764224,0.0,0.0296225182030454
136,137,5173.0,6498.0,0.9497977901763935,0.0,0.8599722402982098,0.0,0.07792801162534677,0.9850805094272788,0.0,0.9200159474319971,0.0,0.025472850829276614
137,138,5173.0,6498.0,0.9497977901763935,0.0,0.8599722402982098,0.0,0.07792801162534677,0.9850805094272788,0.0,0.9200159474319971,0.0,0.025472850829276614
138,139,5122.0,6298.0,0.9511288165441274,0.0,0.8592816330829443,0.0,0.07665033539931998,0.9848606731890828,0.0,0.9175323909352018,0.0,0.02594578048121387
139,140,5100.0,6294.0,0.9521566927410793,0.0,0.8604672506986943,0.0,0.07542227923804966,0.9853697212098055,0.0,0.9168392628701904,0.0,0.025428853769238223
140,141,4926.0,6159.0,0.9522933118058832,0.0,0.8628821190657995,0.0,0.07496608327242417,0.9850861034047816,0.0,0.9185483081914386,0.0,0.025628974073284527
141,142,4759.0,5970.0,0.9552498052329229,0.0,0.8664449902765814,0.0,0.07087292264095085,0.9874538920041462,0.0,0.9233983758125739,0.0,0.02196573180525262
142,143,4592.0,5741.0,0.9559740942639464,0.0,0.86858451851211,0.0,0.06946726608587986,0.9876577379598831,0.0,0.9240759587890559,0.0,0.021596088060911737
143,144,4592.0,5741.0,0.9559740942639464,0.0,0.86858451851211,0.0,0.06946726608587986,0.9876577379598831,0.0,0.9240759587890559,0.0,0.021596088060911737
144,145,4534.0,5672.0,0.9569932858738167,0.0,0.8710309832877567,0.0,0.0679997819760658,0.9875118843023166,0.0,0.9233938037277123,0.0,0.021920652191922047
145,146,4480.0,5531.0,0.9610026997449499,0.0,0.8776195867641139,0.0,0.06209673903657797,0.9890136536211726,0.0,0.9310602756235637,0.0,0.019204353389085698
146,147,4359.0,5463.0,0.9597237034575279,0.0,0.8770433284559512,0.0,0.06359667370883483,0.9879510023615381,0.0,0.9273395129632322,0.0,0.020876257174912757
147,148,4359.0,5463.0,0.9597237034575279,0.0,0.8770433284559512,0.0,0.06359667370883483,0.9879510023615381,0.0,0.9273395129632322,0.0,0.020876257174912757
148,149,4242.0,5406.0,0.9586666039016255,0.0,0.8743606429116842,0.0,0.06553566742149235,0.9875674492231826,0.0,0.9278351269622245,0.0,0.021433544476625186
149,150,4242.0,5406.0,0.9586666039016255,0.0,0.8743606429116842,0.0,0.06553566742149235,0.9875674492231826,0.0,0.9278351269622245,0.0,0.021433544476625186
150,151,4170.0,5298.0,0.96278177612971,0.0,0.8825200392698219,0.0,0.0591065945165458,0.9879725840001421,0.0,0.9304476162521158,0.0,0.0205395441770256
151,152,4170.0,5298.0,0.96278177612971,0.0,0.8825200392698219,0.0,0.0591065945165458,0.9879725840001421,0.0,0.9304476162521158,0.0,0.0205395441770256
152,153,4055.0,5156.0,0.9673149397466668,0.0,0.8881712826261129,0.0,0.053086845432866014,0.990163956531581,0.0,0.9348715655641541,0.0,0.017351909656511528
153,154,3908.0,5057.0,0.9662615740100512,0.0,0.8878071716324434,0.0,0.05413481469740897,0.9874374233238924,0.0,0.9300397862824653,0.0,0.021166794167968135
154,155,3905.0,4957.0,0.9682755740069536,0.0,0.8879320526757267,0.0,0.051997508676220036,0.9909231148515028,0.0,0.9349520342577174,0.0,0.016222835844808808
