Event id,Event name,Taxon,Type,Level-Placed
4585,L_Megapalaeolenus deprati,Megapalaeolenus deprati,1,3357.6362
3177,L_Asaphopsis grandispinifer,Asaphopsis grandispinifer,1,3359.33
1250,F_Hopeioceras wuweiense,Hopeioceras wuweiense,0,3359.4626
1416,F_Laiwugnathus laiwuensis,Laiwugnathus laiwuensis,0,3359.4626
3265,L_Belemnoceras triformatum,Belemnoceras triformatum,1,3373.6619
3494,L_Coreanoceroides variabile,Coreanoceroides variabile,1,3373.6619
4236,L_Hopeioceras wuweiense,Hopeioceras wuweiense,1,3373.6619
5291,L_Prodamesella tumidula,Prodamesella tumidula,1,3373.6802
4402,L_Laiwugnathus laiwuensis,Laiwugnathus laiwuensis,1,3373.778
2996,L_Acanthograptus macilentus,Acanthograptus macilentus,1,3380.7208
5299,L_Pronajiaceras yichangense,Pronajiaceras yichangense,1,3380.7208
1232,F_Hoffetella transversa,Hoffetella transversa,0,3382.2124
5471,L_Pteroredlichia murakamii,Pteroredlichia murakamii,1,3385.4285
1231,F_Hoffetella magna,Hoffetella magna,0,3403.1208
1230,F_Hoffetella intermedia,Hoffetella intermedia,0,3404.7484
4217,L_Hoffetella magna,Hoffetella magna,1,3404.7484
4218,L_Hoffetella transversa,Hoffetella transversa,1,3408.3955
2058,F_Paramphoton xiangxiensis,Paramphoton xiangxiensis,0,3411.8506
5529,L_Redlichia hupehensis,Redlichia hupehensis,1,3411.8506
5536,L_Redlichia yichangensis,Redlichia yichangensis,1,3412.4965
3365,L_Chosenia quadrata,Chosenia quadrata,1,3414.8972
5477,L_Ptychagnostus atavus,Ptychagnostus atavus,1,3415.6824
2894,F_Tungtzuella sinuata,Tungtzuella sinuata,0,3415.6835
4216,L_Hoffetella intermedia,Hoffetella intermedia,1,3415.6835
3340,L_Chaohuceras contratum,Chaohuceras contratum,1,3416.0006
2502,F_Punctolira sinensis,Punctolira sinensis,0,3416.2806
144,F_Aojia hespera,Aojia hespera,0,3417.6882
5534,L_Redlichia murakamii,Redlichia murakamii,1,3417.6882
5863,L_Tritoechia obesa,Tritoechia obesa,1,3417.6882
5880,L_Tungtzuella sinuata,Tungtzuella sinuata,1,3420.1376
842,F_Diparelasma nanjingensis,Diparelasma nanjingensis,0,3431.4867
1248,F_Hopeioceras styliforme,Hopeioceras styliforme,0,3431.4867
2231,F_Pomatotrema jiangsuense,Pomatotrema jiangsuense,0,3431.4867
2882,F_Tritoechia turritella,Tritoechia turritella,0,3431.4867
5527,L_Redlichia chinensis,Redlichia chinensis,1,3431.4867
4234,L_Hopeioceras styliforme,Hopeioceras styliforme,1,3432.0987
2639,F_Serratognathus diversus,Serratognathus diversus,0,3454.5557
325,F_Cambrooistodus cambricus,Cambrooistodus cambricus,0,3468.2732
2640,F_Serratognathus obliquidens,Serratognathus obliquidens,0,3468.2732
1603,F_Mengzia mengziensis,Mengzia mengziensis,0,3471.9781
3828,L_Diparelasma nanjingensis,Diparelasma nanjingensis,1,3472.471
5486,L_Punctolira orientalis,Punctolira orientalis,1,3472.471
5488,L_Punctolira sinensis,Punctolira sinensis,1,3472.471
4233,L_Hopeioceras mathieui,Hopeioceras mathieui,1,3476.5106
1525,F_Lisania placida,Lisania placida,0,3477.474
5217,L_Pomatotrema jiangsuense,Pomatotrema jiangsuense,1,3477.474
542,F_Cotalagnostus lens claudicans,Cotalagnostus lens claudicans,0,3478.6073
2905,F_Utagnostus neglectus,Utagnostus neglectus,0,3478.6073
936,F_Eoinouyia dayakouensis,Eoinouyia dayakouensis,0,3486.579
5867,L_Tritoechia tangshanensis,Tritoechia tangshanensis,1,3486.579
958,F_Erbia granulosa,Erbia granulosa,0,3491.8078
1396,F_Kunmingaspis qiannanensis,Kunmingaspis qiannanensis,0,3491.8078
1397,F_Kunmingaspis yunnanensis,Kunmingaspis yunnanensis,0,3491.8078
3062,L_Aloxoconus staufferi,Aloxoconus staufferi,1,3491.8078
268,F_Baojingia latilimbata,Baojingia latilimbata,0,3493.1672
880,F_Doryagnostus tncertus,Doryagnostus tncertus,0,3493.1672
1291,F_Hypagnostus quadratus,Hypagnostus quadratus,0,3493.1672
1373,F_Kootenia baishagonensis,Kootenia baishagonensis,0,3493.1672
1604,F_Mengzia transversa,Mengzia transversa,0,3493.1672
2878,F_Tritoechia orbicularis,Tritoechia orbicularis,0,3493.1672
4235,L_Hopeioceras triformatus,Hopeioceras triformatus,1,3493.1672
1528,F_Lisogoragnostus hybus,Lisogoragnostus hybus,0,3499.7833
4590,L_Mengzia transversa,Mengzia transversa,1,3500.8737
846,F_Diplagnostus planicaudatus,Diplagnostus planicaudatus,0,3503.1161
3944,L_Erbia granulosa,Erbia granulosa,1,3515.5812
